id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
1,Synset('understanding.n.01'),1,he has virtually no understanding of social cause and effect,Synset('train.n.05'),2,the bride's train was carried by her two young nephews,1
2,Synset('principal.n.02'),2,she sent unruly pupils to see the principal,Synset('worrying.n.02'),1,vigorous worrying finally loosened the saw,0
3,Synset('ala.n.01'),1,the alae of the nose,Synset('pain.n.04'),2,that kid is a terrible pain,1
4,Synset('train_of_thought.n.01'),1,I couldn't follow his train of thought,Synset('credit_card.n.01'),2,do you take plastic?,1
5,Synset('trueness.n.03'),1,I marveled at the trueness of his aim,Synset('qualifier.n.01'),2,the tournament was won by a late qualifier,1
6,Synset('obedience.n.03'),2,their children were never very strong on obedience,Synset('syndrome.n.01'),1,every word has a syndrome of meanings,0
7,Synset('book.n.02'),1,he used a large book as a doorstop,Synset('burg.n.01'),2,I've lived in this burg all my life,1
8,Synset('breakdown.n.03'),1,there was a power breakdown,Synset('terror.n.04'),2,he used terror to make them confess,1
9,Synset('contact.n.04'),1,contact with the pier scraped paint from the hull,Synset('bedfellow.n.01'),2,politics makes strange bedfellows,1
10,Synset('tramcar.n.01'),2,a tramcar carries coal out of a coal mine,Synset('hardball.n.01'),1,they play hardball in the Senate,0
11,Synset('law.n.02'),1,there is a law against kidnapping,Synset('stater.n.02'),2,Keystone stater,1
12,Synset('appeaser.n.01'),2,An appeaser is one who feeds a crocodile--hoping it will eat him last,Synset('hostile.n.01'),1,the platoon ran into a pack of hostiles,0
13,Synset('deservingness.n.01'),1,there were many children whose deservingness he recognized and rewarded,Synset('proletarian.n.01'),2,workers of the world--unite!,1
14,Synset('copenhagen.n.01'),3,Copenhagen is sometimes called the Paris of the North,Synset('isometry.n.02'),1,the isometries of the cube,0
15,Synset('force_out.n.01'),1,the shortstop got the runner at second on a force,Synset('gateway_drug.n.01'),2,one college athlete recently called beer a gateway drug for young people,1
16,Synset('note.n.02'),2,drop me a line when you get there,Synset('refresher.n.02'),3,he stopped at the bar for a quick refresher,1
17,Synset('connection.n.03'),1,he soldered the connection,Synset('invite.n.01'),3,he didn't get no invite to the party,1
18,Synset('bazaar.n.03'),1,the church bazaar,Synset('commitment.n.02'),2,his long commitment to public service,1
19,Synset('season.n.02'),1,the regular sequence of the seasons,Synset('regular.n.01'),2,an habitue of the racetrack,1
20,Synset('meltdown.n.02'),1,there is little likelihood of a meltdown comparable to the American banking collapse in March 1933,Synset('anathema.n.01'),2,he is an anathema to me,1
21,Synset('fat.n.01'),3,pizza has too much fat,Synset('budget.n.02'),1,the president submitted the annual budget to Congress,0
22,Synset('military_action.n.01'),2,he saw action in Korea,Synset('twist.n.13'),1,with a quick twist of his head he surveyed the room,0
23,Synset('alloy.n.01'),2,brass is an alloy of zinc and copper,Synset('instantiation.n.01'),1,how many instantiations were found?,0
24,Synset('concentration_gradient.n.01'),1,the movement of a solute down its concentration gradient is called diffusion,Synset('dog.n.03'),2,you lucky dog,1
25,Synset('back.n.07'),1,they pinned a `kick me' sign on his back,Synset('townsman.n.01'),2,a fellow townsman,1
26,Synset('military.n.01'),1,their military is the largest in the region,Synset('reveler.n.01'),2,the clubs attract revelers as young as thirteen,1
27,Synset('grantor.n.01'),2,conveyed from grantor to grantee,Synset('small_fortune.n.01'),1,he made a small fortune in the commodities market,0
28,Synset('wear.n.03'),1,she bought it for everyday wear,Synset('buster.n.04'),2,dam buster,1
29,Synset('tunnel.n.01'),1,the tunnel reduced congestion at that intersection,Synset('principal.n.02'),2,she sent unruly pupils to see the principal,1
