id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
1,Synset('watering.n.02'),10,the lawn needs a great deal of watering,Synset('sprinkle.n.02'),11,baptized with a sprinkling of holy water,1
2,Synset('sensation.n.01'),8,a sensation of touch,Synset('taste.n.01'),9,the candy left him with a bad taste,1
3,Synset('topographic_point.n.01'),6,this is a nice place for a picnic,Synset('dead_drop.n.01'),9,a dead drop avoids the need for an intelligence officer and a spy to be present at the same time,1
4,Synset('neighborhood.n.02'),7,it is a friendly neighborhood,Synset('street.n.05'),8,the whole street protested the absence of street lights,1
5,Synset('acknowledgment.n.03'),5,she must have seen him but she gave no sign of acknowledgment,Synset('hello.n.01'),7,every morning they exchanged polite hellos,1
6,Synset('details.n.01'),6,after the trial he gave us the real details,Synset('dope.n.04'),7,is that the straight dope?,1
7,Synset('consciousness.n.01'),8,he lost consciousness,Synset('awareness.n.02'),9,the crash intruded on his awareness,1
8,Synset('overlap.n.01'),7,there was no overlap between their proposals,Synset('crossroads.n.03'),8,Freud's work stands at the crossroads between psychology and neurology,1
9,Synset('period.n.04'),6,ganoid fishes swarmed during the earlier geological periods,Synset('ice_age.n.01'),7,the most recent ice age was during the Pleistocene,1
10,Synset('note.n.02'),11,drop me a line when you get there,Synset('excuse.n.02'),12,he had to get his mother to write an excuse for him,1
11,Synset('fire.n.03'),9,fire was one of our ancestors' first discoveries,Synset('blaze.n.01'),10,the blaze spread rapidly,1
12,Synset('acceleration.n.01'),7,modern science caused an acceleration of cultural change,Synset('precipitation.n.05'),8,he is responsible for the precipitation of his own demise,1
13,Synset('motivation.n.01'),4,we did not understand his motivation,Synset('reason.n.01'),6,the reason that war was declared,1
14,Synset('gratification.n.01'),8,dull repetitious work gives no gratification,Synset('quality_of_life.n.01'),9,the new art museum is expected to improve the quality of life,1
15,Synset('setting.n.01'),8,the perfect setting for a ghost story,Synset('scenario.n.02'),9,the scenario is France during the Reign of Terror,1
16,Synset('estimate.n.05'),7,they had a high estimation of his ability,Synset('reputation.n.03'),8,he acquired a reputation as an actor before he started writing,1
17,Synset('military_action.n.01'),7,he saw action in Korea,Synset('battle.n.01'),8,Grant won a decisive victory in the battle of Chickamauga,1
18,Synset('reproduction.n.04'),10,Gutenberg's reproduction of holy texts was far more efficient,Synset('playback.n.01'),12,he was allowed to hear the playback of his testimony,1
19,Synset('channel.n.05'),7,it must go through official channels,Synset('liaison.n.02'),8,he provided a liaison with the guerrillas,1
20,Synset('allowance.n.03'),10,an allowance for profit,Synset('seasonal_adjustment.n.01'),11,seasonal adjustments for housing starts must be made in mid-winter,1
21,Synset('impression.n.01'),7,his impression of her was favorable,Synset('effect.n.03'),8,he just did it for effect,1
22,Synset('sincerity.n.02'),9,his sincerity inspired belief,Synset('singleness.n.01'),10,the singleness of his motives could not be questioned,1
23,Synset('sight.n.02'),5,he was a familiar sight on the television,Synset('spectacle.n.01'),6,the tragic spectacle of cripples trying to escape,1
24,Synset('liberty.n.02'),6,liberty of opinion,Synset('latitude.n.02'),7,the new freedom in movies and novels,1
25,Synset('differentiation.n.01'),8,it is necessary to make a distinction between love and infatuation,Synset('contradistinction.n.01'),9,sculpture in contradistinction to painting,1
