,id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
0,1,Synset('sprinkle.n.02'),11,baptized with a sprinkling of holy water,Synset('watering.n.02'),10,the lawn needs a great deal of watering,0
1,2,Synset('sensation.n.01'),8,a sensation of touch,Synset('taste.n.01'),9,the candy left him with a bad taste,1
2,3,Synset('topographic_point.n.01'),6,this is a nice place for a picnic,Synset('dead_drop.n.01'),9,a dead drop avoids the need for an intelligence officer and a spy to be present at the same time,1
3,4,Synset('street.n.05'),8,the whole street protested the absence of street lights,Synset('neighborhood.n.02'),7,it is a friendly neighborhood,0
4,5,Synset('acknowledgment.n.03'),5,she must have seen him but she gave no sign of acknowledgment,Synset('hello.n.01'),7,every morning they exchanged polite hellos,1
5,6,Synset('details.n.01'),6,after the trial he gave us the real details,Synset('dope.n.04'),7,is that the straight dope?,1
6,7,Synset('consciousness.n.01'),8,he lost consciousness,Synset('awareness.n.02'),9,the crash intruded on his awareness,1
7,8,Synset('overlap.n.01'),7,there was no overlap between their proposals,Synset('crossroads.n.03'),8,Freud's work stands at the crossroads between psychology and neurology,1
8,9,Synset('ice_age.n.01'),7,the most recent ice age was during the Pleistocene,Synset('period.n.04'),6,ganoid fishes swarmed during the earlier geological periods,0
9,10,Synset('note.n.02'),11,drop me a line when you get there,Synset('excuse.n.02'),12,he had to get his mother to write an excuse for him,1
10,11,Synset('blaze.n.01'),10,the blaze spread rapidly,Synset('fire.n.03'),9,fire was one of our ancestors' first discoveries,0
11,12,Synset('acceleration.n.01'),7,modern science caused an acceleration of cultural change,Synset('precipitation.n.05'),8,he is responsible for the precipitation of his own demise,1
12,13,Synset('reason.n.01'),6,the reason that war was declared,Synset('motivation.n.01'),4,we did not understand his motivation,0
13,14,Synset('gratification.n.01'),8,dull repetitious work gives no gratification,Synset('quality_of_life.n.01'),9,the new art museum is expected to improve the quality of life,1
14,15,Synset('scenario.n.02'),9,the scenario is France during the Reign of Terror,Synset('setting.n.01'),8,the perfect setting for a ghost story,0
